label,ok,error,mel,mel_fraction,pre_ratio_med,pre_ratio_p90,pre_dmin_med,post_ratio_med,post_ratio_p90,post_dmin_med,post_fallback_frac,force_fallback_events,n_nodes_out,n_edges_out,n_terminals,n_branches,nodes_outside,total_length
nr6_ss0.1_jit0.0_b1.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.532759831857532,11.330898444592854,25.377074089445532,0.0,0.0,13.0,13.0,2.0,2.0,0.0,670.5586942806235
nr6_ss0.1_jit0.0_b2.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.10504089341383,10.874672257564455,24.919392532697117,0.0,0.0,13.0,13.0,2.0,2.0,0.0,676.3993925809808
nr6_ss0.1_jit0.1_b1.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.435644888526532,10.895539654711282,25.644419961690406,0.0,0.0,13.0,13.0,2.0,2.0,0.0,669.7077163245305
nr6_ss0.1_jit0.1_b2.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.083405991902042,10.621120728989062,24.60577963811922,0.0,0.0,13.0,13.0,2.0,2.0,0.0,677.0194035037454
nr6_ss0.25_jit0.0_b1.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.066482615352625,8.556038369837692,30.33409020472066,0.0,0.0,15.0,15.0,2.0,2.0,0.0,697.0970664863245
nr6_ss0.25_jit0.0_b2.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.238465518040197,8.95236183564201,31.539085091498677,0.0,0.0,14.0,14.0,2.0,2.0,0.0,706.5900232996828
nr6_ss0.25_jit0.1_b1.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.181367117173533,8.712942082853917,30.367298726079035,0.0,0.0,14.0,14.0,2.0,2.0,0.0,696.8456012020729
nr6_ss0.25_jit0.1_b2.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.084379736868405,9.139435292850408,31.75557062128445,0.0,0.0,13.0,13.0,2.0,2.0,0.0,710.2571237402688
nr6_ss0.5_jit0.0_b1.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,3.8625361037828747,6.17968344102727,34.21369602625256,0.0,0.0,15.0,15.0,2.0,2.0,0.0,683.8931254452393
nr6_ss0.5_jit0.0_b2.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.053077054841129,6.497360196095215,33.44213398604265,0.0,0.0,15.0,15.0,2.0,2.0,0.0,693.2677340781254
nr6_ss0.5_jit0.1_b1.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,3.7473952827779056,6.129431696564553,36.53159591861659,0.0,0.0,15.0,15.0,2.0,2.0,0.0,681.1588375067819
nr6_ss0.5_jit0.1_b2.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,3.9040575765277206,6.018798121475895,37.87606634833177,0.0,0.0,15.0,15.0,2.0,2.0,0.0,687.3220215167674
nr12_ss0.1_jit0.0_b1.0,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.756406683008162,16.010418496677858,26.094534811656004,0.0,0.0,13.0,13.0,2.0,2.0,0.0,659.1692294937434
