label,ok,error,mel,mel_fraction,pre_ratio_med,pre_ratio_p90,pre_dmin_med,post_ratio_med,post_ratio_p90,post_dmin_med,post_fallback_frac,force_fallback_events,n_nodes_out,n_edges_out,n_terminals,n_branches,nodes_outside,total_length,spine
batch_mel0.1,True,,271.0450413743071,0.1,5.936512250444257,32.1748006690806,26.214481013667854,4.299537926921403,8.61397348905669,33.930930085477186,0.0,0.0,36.0,42.0,7.0,11.0,0.0,8041.984993872342,1
notebook_mel0.06,True,,162.62702482458428,0.06,7.030181523907078,27.259190880726813,25.314144777167076,7.190826371861067,16.478233240076786,27.453132362330148,0.0,0.0,39.0,45.0,7.0,11.0,0.0,8010.241799184977,1
batch_mel0.1,True,,61.684583545401466,0.1,6.08637217179916,113.4600798923172,17.290990442868402,4.211477017076375,9.344722094722476,27.025768232935,0.0,0.0,13.0,13.0,2.0,2.0,0.0,692.7968544972781,2
notebook_mel0.06,True,,37.010750127240875,0.06,4.869113048023932,24.042227876568887,24.49427949428784,4.053077054841129,14.284629138214303,25.386376292676008,0.0,0.0,17.0,17.0,3.0,2.0,0.0,689.4578704478206,2
batch_mel0.1,True,,191.1243208605677,0.1,4.95672551018558,18.704020762860374,34.09973100360382,3.882686361292798,10.99118977602922,41.0915430387981,0.0,0.0,54.0,61.0,10.0,16.0,0.0,8192.12881771683,3
notebook_mel0.06,True,,114.67459251634061,0.06,5.036732047516117,18.37389641302243,32.96078741201641,5.1396006605345965,14.726716137624425,30.262537679929334,0.0,0.0,69.0,77.0,17.0,20.0,0.0,9413.006609577593,3
